Ball,Runs,Bowler,Batsman,Speed,Pitch Length,Pitch Line
39.5,W,B Stokes,I Tahir,135.8 km/h,short length,just outside off stump.
39.4,W,B Stokes,K Rabada,125.8 km/h,short length,outside off stump.
39.3,4Lb,B Stokes,K Rabada,,,
39.2,0,B Stokes,K Rabada,135.4 km/h,short length,on off stump.
39.1,4,B Stokes,K Rabada,132.1 km/h,short length,outside off stump.
38.6,0,L Plunkett,L Ngidi,137.7 km/h,good length,on off stump.
38.5,0,L Plunkett,L Ngidi,132.2 km/h,good length,on middle stump.
38.4,6,L Plunkett,L Ngidi,114.2 km/h,full length,on middle stump.
38.3,0,L Plunkett,L Ngidi,135.2 km/h,short length,outside off stump.
38.2,0,L Plunkett,L Ngidi,136.0 km/h,full length,just outside off stump.
38.1,W,L Plunkett,H Amla,126.6 km/h,short length,just outside off stump.
37.6,1,B Stokes,H Amla,135.0 km/h,short length,on middle stump.
37.5,1,B Stokes,K Rabada,135.2 km/h,short length,just outside off stump.
37.4,0,B Stokes,K Rabada,109.7 km/h,full length,going down leg.
37.3,0,B Stokes,K Rabada,134.9 km/h,short length,on off stump.
37.2,4,B Stokes,K Rabada,133.8 km/h,short length,just outside off stump.
37.1,1,B Stokes,H Amla,119.5 km/h,good length,just outside off stump.
36.6,0,L Plunkett,K Rabada,132.1 km/h,good length,just outside off stump.
36.5,1,L Plunkett,H Amla,129.6 km/h,short length,on off stump.
36.4,1,L Plunkett,K Rabada,118.9 km/h,short length,on leg stump.
36.3,0,L Plunkett,K Rabada,125.2 km/h,short length,just outside off stump.
36.2,1,L Plunkett,H Amla,134.5 km/h,short length,going down leg.
36.1,0,L Plunkett,H Amla,117.9 km/h,short length,outside off stump.
35.6,0,B Stokes,K Rabada,119.5 km/h,short length,outside off stump.
35.5,0,B Stokes,K Rabada,133.4 km/h,short length,on off stump.
35.4,0,B Stokes,K Rabada,139.8 km/h,short length,outside off stump.
35.3,0,B Stokes,K Rabada,135.5 km/h,short length,just outside off stump.
35.2,0,B Stokes,K Rabada,133.7 km/h,short length,outside off stump.
35.1,1,B Stokes,H Amla,135.0 km/h,short length,on middle stump.
34.6,1,A Rashid,H Amla,80.3 km/h,good length,just outside off stump.
34.5,0,A Rashid,H Amla,76.2 km/h,short length,outside off stump.
34.4,1,A Rashid,K Rabada,79.5 km/h,good length,just outside off stump.
34.3,0,A Rashid,K Rabada,83.8 km/h,good length,outside off stump.
34.2,0,A Rashid,K Rabada,78.8 km/h,short length,on middle stump.
34.1,W,A Rashid,A Phehlukwayo,82.9 km/h,good length,outside off stump.
33.6,1,J Archer,A Phehlukwayo,143.9 km/h,short length,just outside off stump.
33.5,0,J Archer,A Phehlukwayo,141.0 km/h,short length,on middle stump.
33.5,1Wd,J Archer,A Phehlukwayo,,,
