,inningNumber,oversActual,pitchLine,pitchLength,isFour,isSix,isWicket,byes,legbyes,wides,noballs,run,totalRuns,totalWickets,shotType,time_of_day,Ground Name,Batsman_Name,Batsman_Role,Batsman_Batting_Style,Batsman_Playing_Role,Bowler_Name,Bowler_Role,Bowler_Bowling_Style,Bowler_Playing_Role
0,1,0.1,1,2,False,False,False,0,0,0,0,0,0,0,3,0,1,360,2,1,6,47,1,4,3
1,1,0.2,1,4,False,False,False,0,0,0,0,0,0,0,1,0,1,360,2,1,6,47,1,4,3
2,1,0.3,1,2,False,False,False,0,0,0,0,0,0,0,3,0,1,360,2,1,6,47,1,4,3
3,1,0.4,1,2,False,False,False,0,0,0,0,0,0,0,4,0,1,360,2,1,6,47,1,4,3
4,1,0.5,1,2,False,False,True,0,0,0,0,0,0,0,0,0,1,360,2,1,6,47,1,4,3
5,1,0.6,2,2,False,False,False,0,0,0,0,0,0,1,3,0,1,4,0,0,1,47,1,4,3
6,1,9.1,2,4,False,False,False,0,0,0,0,1,63,2,8,0,1,4,0,0,1,139,1,6,6
7,1,9.2,1,3,False,False,False,0,0,0,0,1,64,2,11,0,1,72,2,0,0,139,1,6,6
8,1,9.3,1,2,False,False,False,0,2,0,0,2,65,2,17,0,1,4,0,0,1,139,1,6,6
9,1,9.4,4,0,False,False,False,0,0,0,0,1,67,2,0,0,1,4,0,0,1,139,1,6,6
10,1,9.5,0,2,False,False,False,0,0,0,0,1,68,2,21,0,1,72,2,0,0,139,1,6,6
11,1,9.6,0,0,False,False,False,0,0,0,0,1,69,2,4,0,1,4,0,0,1,139,1,6,6
12,1,10.1,2,4,False,False,False,0,0,0,0,1,70,2,8,0,1,4,0,0,1,28,2,17,7
13,1,10.2,2,2,False,False,False,0,0,0,0,1,71,2,4,0,1,72,2,0,0,28,2,17,7
14,1,10.3,1,2,False,False,False,0,0,0,0,1,72,2,4,0,1,4,0,0,1,28,2,17,7
15,1,10.4,4,2,False,False,False,0,0,0,0,1,73,2,0,0,1,72,2,0,0,28,2,17,7
16,1,10.5,2,0,False,False,False,0,0,0,0,0,74,2,0,0,1,4,0,0,1,28,2,17,7
17,1,10.6,2,3,False,True,False,0,0,0,0,6,74,2,11,0,1,4,0,0,1,28,2,17,7
18,1,11.1,2,5,False,False,False,0,0,0,0,0,80,2,3,0,1,72,2,0,0,174,1,13,0
19,1,11.2,0,4,False,False,False,0,0,0,0,1,80,2,12,0,1,72,2,0,0,174,1,13,0
20,1,11.3,0,4,False,False,True,0,0,0,0,0,81,2,4,0,1,4,0,0,1,174,1,13,0
21,1,11.4,0,2,False,False,False,0,0,0,0,0,81,3,12,0,1,4,0,0,1,174,1,13,0
22,1,11.5,0,4,True,False,False,0,0,0,0,4,81,3,4,0,1,4,0,0,1,174,1,13,0
23,1,11.6,1,0,False,False,False,0,0,0,0,0,85,3,12,0,1,4,0,0,1,174,1,13,0
24,1,12.1,2,0,False,False,False,0,0,0,0,0,85,3,8,0,1,307,2,0,5,264,1,18,6
25,1,12.2,2,2,False,False,False,0,0,0,0,0,85,3,1,0,1,307,2,0,5,264,1,18,6
26,1,12.3,4,2,False,False,False,0,0,0,0,0,85,3,1,0,1,307,2,0,5,264,1,18,6
27,1,12.4,2,4,False,False,False,0,0,0,0,1,85,3,1,0,1,307,2,0,5,264,1,18,6
28,1,12.5,4,0,True,False,False,0,0,0,0,4,86,3,0,0,1,4,0,0,1,264,1,18,6
29,1,12.6,2,0,False,True,False,0,0,0,0,6,90,3,20,0,1,4,0,0,1,264,1,18,6
30,1,13.1,0,2,False,False,False,0,1,0,0,1,96,3,4,0,1,307,2,0,5,174,1,13,0
31,1,13.2,1,4,False,False,False,0,0,0,0,1,97,3,4,0,1,4,0,0,1,174,1,13,0
32,1,13.3,0,4,False,False,False,0,0,0,0,0,98,3,0,0,1,307,2,0,5,174,1,13,0
33,1,13.4,1,4,False,False,False,0,0,0,0,2,98,3,1,0,1,307,2,0,5,174,1,13,0
34,1,13.5,1,0,False,False,False,0,0,0,0,1,100,3,8,0,1,307,2,0,5,174,1,13,0
35,1,13.6,0,4,False,False,False,0,0,0,0,1,101,3,4,0,1,4,0,0,1,174,1,13,0
36,1,14.1,1,2,False,False,True,0,0,0,0,0,102,3,16,0,1,4,0,0,1,135,1,11,3
37,1,14.2,1,4,False,False,False,0,0,0,0,0,102,4,1,0,1,307,2,0,5,135,1,11,3
38,1,14.3,1,4,False,False,False,0,0,0,0,1,102,4,12,0,1,307,2,0,5,135,1,11,3
39,1,14.4,1,2,False,False,False,0,0,0,0,1,103,4,4,0,1,255,2,1,3,135,1,11,3
40,1,14.5,2,3,True,False,False,0,0,0,0,4,104,4,16,0,1,307,2,0,5,135,1,11,3
41,1,14.6,1,4,True,False,False,0,0,0,0,4,108,4,4,0,1,307,2,0,5,135,1,11,3
42,1,15.1,1,0,False,False,True,0,0,0,0,0,112,4,8,0,1,255,2,1,3,264,1,18,6
43,1,15.2,4,0,False,False,False,0,0,0,0,1,112,5,0,0,1,314,2,0,9,264,1,18,6
44,1,15.3,0,4,False,False,True,0,0,0,0,0,113,5,14,0,1,307,2,0,5,264,1,18,6
45,1,15.4,4,2,False,False,False,0,0,0,0,0,113,6,4,0,1,165,2,1,9,264,1,18,6
46,1,15.5,1,2,False,False,True,0,0,0,0,0,113,6,4,0,1,165,2,1,9,264,1,18,6
48,1,16.1,2,2,False,False,False,0,0,0,0,0,113,7,1,0,1,314,2,0,9,47,1,4,3
49,1,16.2,2,0,False,False,False,0,1,0,0,1,113,7,4,0,1,314,2,0,9,47,1,4,3
50,1,16.3,2,3,False,False,False,0,0,0,0,0,114,7,6,0,1,84,2,1,3,47,1,4,3
51,1,16.4,1,2,False,False,False,0,0,0,0,1,114,7,16,0,1,84,2,1,3,47,1,4,3
52,1,16.5,1,2,False,False,False,0,0,0,0,2,115,7,10,0,1,314,2,0,9,47,1,4,3
53,1,16.6,2,4,False,False,True,0,0,0,0,0,117,7,11,0,1,314,2,0,9,47,1,4,3
54,1,17.1,2,0,False,False,False,0,0,0,0,1,117,8,8,0,1,180,2,1,3,264,1,18,6
55,1,17.2,1,0,False,False,True,0,0,0,0,0,118,8,8,0,1,84,2,1,3,264,1,18,6
56,1,17.3,2,2,False,False,False,0,0,0,0,1,118,9,12,0,1,180,2,1,3,264,1,18,6
57,1,17.4,2,0,False,False,False,0,0,0,0,0,119,9,12,0,1,253,2,1,3,264,1,18,6
58,1,17.5,0,2,False,False,False,0,0,1,0,1,119,9,4,0,1,253,2,1,3,264,1,18,6
59,1,17.5,2,2,False,False,False,0,0,0,0,0,120,9,12,0,1,253,2,1,3,264,1,18,6
60,1,17.6,1,0,False,False,False,0,0,0,0,0,120,9,4,0,1,253,2,1,3,264,1,18,6
61,1,18.1,2,0,False,False,False,0,0,0,0,0,120,9,0,0,1,180,2,1,3,47,1,4,3
62,1,18.2,2,0,False,False,False,0,0,0,0,1,120,9,8,0,1,180,2,1,3,47,1,4,3
63,1,18.3,2,2,False,False,False,0,0,0,0,1,121,9,4,0,1,253,2,1,3,47,1,4,3
64,1,18.4,2,2,False,False,False,0,0,0,0,1,122,9,4,0,1,180,2,1,3,47,1,4,3
65,1,18.5,2,3,False,False,False,0,0,0,0,0,123,9,6,0,1,253,2,1,3,47,1,4,3
66,1,18.6,2,0,False,False,False,0,0,0,0,1,123,9,8,0,1,253,2,1,3,47,1,4,3
67,1,1.1,2,2,False,False,False,0,0,0,0,0,0,1,8,0,1,190,2,1,6,135,1,11,3
68,1,1.2,2,2,False,False,False,0,0,0,0,0,0,1,3,0,1,190,2,1,6,135,1,11,3
69,1,1.3,2,4,False,False,True,0,0,0,0,0,0,1,11,0,1,190,2,1,6,135,1,11,3
70,1,1.4,2,2,False,False,False,0,0,0,0,0,0,2,6,0,1,72,2,0,0,135,1,11,3
71,1,1.5,1,2,False,False,False,0,0,0,0,0,0,2,3,0,1,72,2,0,0,135,1,11,3
72,1,1.6,0,2,False,False,False,0,0,0,0,1,0,2,4,0,1,72,2,0,0,135,1,11,3
73,1,2.1,1,2,False,False,False,0,1,0,0,1,1,2,4,0,1,72,2,0,0,47,1,4,3
74,1,2.2,1,2,False,False,False,0,0,0,0,0,2,2,4,0,1,4,0,0,1,47,1,4,3
75,1,2.3,4,0,False,False,False,0,0,0,0,0,2,2,18,0,1,4,0,0,1,47,1,4,3
